Body
Date,Weight,BMI,Fat
2020-10-29,86.8,0,0
2020-12-06,87.0,0,0
2020-12-07,87.0,0,0
2020-12-08,86.3,0,0
2020-12-11,86.6,0,0
2020-12-12,87.4,0,0
2020-12-13,86.9,0,0
2020-12-17,86.7,0,0
2020-12-22,87.9,0,0
2020-12-23,88.3,0,0
2020-12-24,87.6,0,0
2020-12-25,87.0,0,0
2020-12-26,86.8,0,0
2020-12-27,87.0,0,0
2020-12-28,86.8,0,0
2020-12-29,86.3,0,0
2020-12-29,85.9,0,0
2020-12-29,86.3,0,0
2020-12-30,86.5,0,0
2020-12-30,86.5,0,0
2020-12-31,87.3,0,0
2021-01-07,87.9,0,0
2021-01-08,87.5,0,0
2021-01-09,87.3,0,0
2021-01-10,87.5,0,0
2021-01-11,87.8,0,0
2021-01-12,87.4,0,0
2021-01-13,87.5,0,0
2021-01-14,86.9,0,0
2021-01-15,86.9,0,0
2021-01-17,86.2,0,0
2021-01-18,86.5,0,0
2021-01-19,86.5,0,0
2021-01-20,87.0,0,0
2021-01-21,86.9,0,0
2021-01-21,86.3,0,0
2021-01-22,86.1,0,0
2021-01-23,85.8,0,0
2021-01-24,86.6,0,0
2021-01-25,86.5,0,0
2021-01-30,87.9,0,0
2021-01-31,87.4,0,0
2021-02-02,86.4,0,0
2021-02-03,86.8,0,0
2021-02-04,87.4,0,0
2021-02-05,87.3,0,0
2021-02-10,87.2,0,0
2021-02-12,87.0,0,0
2021-02-13,86.5,0,0
2021-02-14,87.3,0,0
2021-02-16,87.2,0,0
2021-02-17,86.9,0,0
2021-02-17,86.9,0,0
2021-02-18,86.3,0,0
2021-02-19,87.0,0,0
2021-02-20,87.0,0,0
2021-02-20,86.7,0,0
2021-02-21,85.5,0,0
2021-02-25,86.0,0,0
2021-02-26,86.1,0,0
2021-02-26,86.1,0,0
2021-02-27,85.7,0,0
2021-03-01,85.7,0,0
2021-03-02,86.0,0,0
2021-03-03,85.4,0,0
2021-03-04,86.0,0,0
2021-03-05,85.5,0,0
2021-03-06,85.8,0,0
2021-03-07,86.0,0,0
2021-03-07,86.0,0,0
2021-03-10,85.8,0,0
2021-03-10,85.7,0,0
2021-03-12,86.0,0,0
2021-03-13,85.6,0,0
2021-03-13,85.6,0,0
2021-03-15,85.5,0,0
2021-03-16,86.0,0,0
2021-03-17,85.4,0,0
2021-03-18,85.6,0,0
2021-03-19,85.1,0,0
2021-03-21,86.0,0,0
2021-03-27,86.2,0,0
2021-03-28,86.3,0,0
2021-04-03,87.1,0,0
2021-04-05,86.9,0,0
2021-04-08,85.7,0,0
2021-04-08,85.7,0,0
2021-04-10,85.6,0,0
2021-04-11,87.2,0,0
2021-04-12,85.7,0,0
2021-04-13,85.7,0,0
2021-04-15,86.0,0,0
2021-04-17,85.0,0,0
2021-04-17,84.8,0,0
2021-04-17,85.0,0,0
2021-04-20,85.5,0,0
2021-04-23,85.1,0,0
2021-05-02,84.9,0,0
2021-05-03,84.6,0,0
2021-05-04,84.9,0,0
2021-05-04,84.9,0,0
2021-05-06,85.1,0,0
2021-05-08,85.2,0,0
2021-05-09,84.2,0,0
2021-05-10,84.4,0,0
2021-05-11,84.4,0,0
2021-05-12,84.1,0,0
2021-05-13,84.2,0,0
2021-05-14,84.5,0,0
2021-05-14,84.5,0,0
2021-05-15,83.9,0,0
2021-05-20,85.2,0,0
2021-05-22,84.8,0,0
2021-05-23,84.4,0,0
2021-05-25,84.8,0,0
2021-05-25,84.8,0,0
2021-05-26,84.2,0,0
2021-06-01,84.2,0,0
2021-06-04,85.1,0,0
